model,Adrian,Colin,Ethan,Frank,Jessica,Michelle,Nathan,Rachel,Zara
openrouter/google/gemini-2.5-flash,0.16666666666666666,0.0,0.0,0.5,0.08333333333333333,0.0,0.08333333333333333,0.25,0.08333333333333333
openrouter/openai/gpt-5,0.4166666666666667,0.8333333333333334,1.0,0.9166666666666666,0.6666666666666666,0.75,0.4166666666666667,0.25,0.5
openrouter/openai/gpt-oss-20b,0.6666666666666666,0.25,1.0,0.5833333333333334,0.5833333333333334,0.75,0.08333333333333333,0.75,0.9166666666666666
openrouter/x-ai/grok-3,0.3333333333333333,0.08333333333333333,0.0,1.0,0.75,0.5,0.25,0.25,0.8333333333333334
openrouter/x-ai/grok-4,0.5,0.6666666666666666,0.8333333333333334,1.0,0.3333333333333333,0.25,0.16666666666666666,0.75,1.0
