model,Adrian,Colin,Ethan,Frank,Jessica,Michelle,Nathan,Rachel,Zara
openrouter/google/gemini-2.5-flash,1.5,3.6666666666666665,3.5833333333333335,1.4166666666666667,3.4166666666666665,2.75,1.25,2.9166666666666665,2.5
openrouter/openai/gpt-5,0.5833333333333334,0.25,0.16666666666666666,0.08333333333333333,0.8333333333333334,0.8333333333333334,-0.08333333333333333,2.1666666666666665,0.25
openrouter/openai/gpt-oss-20b,0.4166666666666667,0.5,0.6666666666666666,-0.16666666666666666,0.75,1.5,-0.3333333333333333,0.9166666666666666,1.0
openrouter/x-ai/grok-3,1.0833333333333333,2.4166666666666665,2.4166666666666665,0.4166666666666667,0.0,1.25,0.16666666666666666,2.6666666666666665,1.5
openrouter/x-ai/grok-4,1.0833333333333333,1.8333333333333333,2.0,0.4166666666666667,2.0,2.25,1.25,1.3333333333333333,1.0
