model,Adrian,Colin,Ethan,Frank,Jessica,Michelle,Nathan,Rachel,Zara
openrouter/google/gemini-2.5-flash,2.3333333333333335,1.3333333333333333,1.25,3.0,1.4166666666666667,1.9166666666666667,1.5,2.1818181818181817,2.1666666666666665
openrouter/openai/gpt-5,3.25,4.416666666666667,4.75,4.75,3.5833333333333335,3.9166666666666665,3.25,2.8333333333333335,3.9166666666666665
openrouter/openai/gpt-oss-20b,3.1666666666666665,3.6666666666666665,3.9166666666666665,3.5,3.5,3.75,2.0833333333333335,3.3333333333333335,3.8333333333333335
openrouter/x-ai/grok-3,3.0833333333333335,2.3333333333333335,2.3333333333333335,4.583333333333333,4.5,3.8333333333333335,3.4166666666666665,2.3333333333333335,4.0
openrouter/x-ai/grok-4,2.6666666666666665,3.0833333333333335,2.5,3.8333333333333335,2.1666666666666665,2.25,2.25,2.8333333333333335,2.8333333333333335
